s,a,s',reward,case,amount
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,3321,19000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,3321,19000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",W_Fix_incomplete_submission,"W_Fix_incomplete_submission,0,0,0,0,1",-35.25,3321,19000.0
"W_Fix_incomplete_submission,0,0,0,0,1",A_DECLINED,"A_DECLINED,0,0,0,0,1",0.0,3321,19000.0
"A_DECLINED,0,0,0,0,1",END,END,0.0,3321,19000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,3322,17000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,3322,17000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,0",0.0,3322,17000.0
"A_PREACCEPTED,0,0,0,0,0",W_Complete_preaccepted_appl,"W_Complete_preaccepted_appl,0,0,0,0,0",-3.46,3322,17000.0
"W_Complete_preaccepted_appl,0,0,0,0,0",A_ACCEPTED,"A_ACCEPTED,0,0,0,0,0",0.0,3322,17000.0
"A_ACCEPTED,0,0,0,0,0",A_FINALIZED,"A_FINALIZED,0,0,0,0,0",0.0,3322,17000.0
"A_FINALIZED,0,0,0,0,0",O_SELECTED,"O_SELECTED,0,0,0,0,0",0.0,3322,17000.0
"O_SELECTED,0,0,0,0,0",O_CREATED,"O_CREATED,0,0,0,0,0",0.0,3322,17000.0
"O_CREATED,0,0,0,0,0",O_SENT,"O_SENT,0,0,1,0,0",0.0,3322,17000.0
"O_SENT,0,0,1,0,0",W_Call_after_offer,"W_Call_after_offer,1,0,1,0,0",-12.49,3322,17000.0
"W_Call_after_offer,1,0,1,0,0",O_SENT_BACK,"O_SENT_BACK,1,0,1,1,0",0.0,3322,17000.0
"O_SENT_BACK,1,0,1,1,0",W_Assess_application,"W_Assess_application,1,0,1,1,0",-8.64,3322,17000.0
"W_Assess_application,1,0,1,1,0",W_Call_missing_information,"W_Call_missing_information,1,1,1,1,0",-19.9,3322,17000.0
"W_Call_missing_information,1,1,1,1,0",O_ACCEPTED,"O_ACCEPTED,1,1,1,1,0",0.0,3322,17000.0
"O_ACCEPTED,1,1,1,1,0",A_APPROVED,"A_APPROVED,1,1,1,1,0",0.0,3322,17000.0
"A_APPROVED,1,1,1,1,0",A_REGISTERED,"A_REGISTERED,1,1,1,1,0",0.0,3322,17000.0
"A_REGISTERED,1,1,1,1,0",A_ACTIVATED,"A_ACTIVATED,1,1,1,1,0",0.0,3322,17000.0
"A_ACTIVATED,1,1,1,1,0",END,END,2550.0,3322,17000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,3323,18000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,3323,18000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",W_Fix_incomplete_submission,"W_Fix_incomplete_submission,0,0,0,0,1",-17.51,3323,18000.0
"W_Fix_incomplete_submission,0,0,0,0,1",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,1",0.0,3323,18000.0
"A_PREACCEPTED,0,0,0,0,1",W_Complete_preaccepted_appl,"W_Complete_preaccepted_appl,0,0,0,0,1",-17.69,3323,18000.0
"W_Complete_preaccepted_appl,0,0,0,0,1",A_ACCEPTED,"A_ACCEPTED,0,0,0,0,1",0.0,3323,18000.0
"A_ACCEPTED,0,0,0,0,1",A_FINALIZED,"A_FINALIZED,0,0,0,0,1",0.0,3323,18000.0
"A_FINALIZED,0,0,0,0,1",O_SELECTED,"O_SELECTED,0,0,0,0,1",0.0,3323,18000.0
"O_SELECTED,0,0,0,0,1",O_CREATED,"O_CREATED,0,0,0,0,1",0.0,3323,18000.0
"O_CREATED,0,0,0,0,1",O_SENT,"O_SENT,0,0,1,0,1",0.0,3323,18000.0
"O_SENT,0,0,1,0,1",W_Call_after_offer,"W_Call_after_offer,1,0,1,0,1",-4.32,3323,18000.0
"W_Call_after_offer,1,0,1,0,1",O_DECLINED,"O_DECLINED,1,0,1,0,1",0.0,3323,18000.0
"O_DECLINED,1,0,1,0,1",A_DECLINED,"A_DECLINED,1,0,1,0,1",0.0,3323,18000.0
"A_DECLINED,1,0,1,0,1",END,END,0.0,3323,18000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,3324,12000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,3324,12000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",A_CANCELLED,"A_CANCELLED,0,0,0,0,0",0.0,3324,12000.0
"A_CANCELLED,0,0,0,0,0",END,END,0.0,3324,12000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,3325,32000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,3325,32000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",W_Fix_incomplete_submission,"W_Fix_incomplete_submission,0,0,0,0,1",-4.08,3325,32000.0
"W_Fix_incomplete_submission,0,0,0,0,1",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,1",0.0,3325,32000.0
"A_PREACCEPTED,0,0,0,0,1",W_Complete_preaccepted_appl,"W_Complete_preaccepted_appl,0,0,0,0,1",-9.9,3325,32000.0
"W_Complete_preaccepted_appl,0,0,0,0,1",O_DECLINED,"O_DECLINED,0,0,0,0,1",0.0,3325,32000.0
"O_DECLINED,0,0,0,0,1",A_DECLINED,"A_DECLINED,0,0,0,0,1",0.0,3325,32000.0
"A_DECLINED,0,0,0,0,1",END,END,0.0,3325,32000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,3326,8000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,3326,8000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,0",0.0,3326,8000.0
"A_PREACCEPTED,0,0,0,0,0",W_Complete_preaccepted_appl,"W_Complete_preaccepted_appl,0,0,0,0,0",-10.25,3326,8000.0
"W_Complete_preaccepted_appl,0,0,0,0,0",O_DECLINED,"O_DECLINED,0,0,0,0,0",0.0,3326,8000.0
"O_DECLINED,0,0,0,0,0",A_DECLINED,"A_DECLINED,0,0,0,0,0",0.0,3326,8000.0
"A_DECLINED,0,0,0,0,0",END,END,0.0,3326,8000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,3327,26000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,3327,26000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",W_Fix_incomplete_submission,"W_Fix_incomplete_submission,0,0,0,0,1",-3.52,3327,26000.0
"W_Fix_incomplete_submission,0,0,0,0,1",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,1",0.0,3327,26000.0
"A_PREACCEPTED,0,0,0,0,1",W_Complete_preaccepted_appl,"W_Complete_preaccepted_appl,0,0,0,0,1",-2.88,3327,26000.0
"W_Complete_preaccepted_appl,0,0,0,0,1",A_ACCEPTED,"A_ACCEPTED,0,0,0,0,1",0.0,3327,26000.0
"A_ACCEPTED,0,0,0,0,1",A_FINALIZED,"A_FINALIZED,0,0,0,0,1",0.0,3327,26000.0
"A_FINALIZED,0,0,0,0,1",O_SELECTED,"O_SELECTED,0,0,0,0,1",0.0,3327,26000.0
"O_SELECTED,0,0,0,0,1",O_CREATED,"O_CREATED,0,0,0,0,1",0.0,3327,26000.0
"O_CREATED,0,0,0,0,1",O_SENT,"O_SENT,0,0,1,0,1",0.0,3327,26000.0
"O_SENT,0,0,1,0,1",W_Call_after_offer,"W_Call_after_offer,1,0,1,0,1",-8.62,3327,26000.0
"W_Call_after_offer,1,0,1,0,1",O_SELECTED,"O_SELECTED,1,0,1,0,1",0.0,3327,26000.0
"O_SELECTED,1,0,1,0,1",O_CREATED,"O_CREATED,1,0,1,0,1",0.0,3327,26000.0
"O_CREATED,1,0,1,0,1",O_SENT,"O_SENT,1,0,2,0,1",0.0,3327,26000.0
"O_SENT,1,0,2,0,1",W_Call_after_offer,"W_Call_after_offer,2,0,2,0,1",-5.77,3327,26000.0
"W_Call_after_offer,2,0,2,0,1",O_DECLINED,"O_DECLINED,2,0,2,0,1",0.0,3327,26000.0
"O_DECLINED,2,0,2,0,1",A_DECLINED,"A_DECLINED,2,0,2,0,1",0.0,3327,26000.0
"A_DECLINED,2,0,2,0,1",END,END,0.0,3327,26000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,3328,26000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,3328,26000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",W_Fix_incomplete_submission,"W_Fix_incomplete_submission,0,0,0,0,1",-1.5,3328,26000.0
"W_Fix_incomplete_submission,0,0,0,0,1",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,1",0.0,3328,26000.0
"A_PREACCEPTED,0,0,0,0,1",W_Complete_preaccepted_appl,"W_Complete_preaccepted_appl,0,0,0,0,1",-12.85,3328,26000.0
"W_Complete_preaccepted_appl,0,0,0,0,1",A_ACCEPTED,"A_ACCEPTED,0,0,0,0,1",0.0,3328,26000.0
"A_ACCEPTED,0,0,0,0,1",A_FINALIZED,"A_FINALIZED,0,0,0,0,1",0.0,3328,26000.0
"A_FINALIZED,0,0,0,0,1",O_SELECTED,"O_SELECTED,0,0,0,0,1",0.0,3328,26000.0
"O_SELECTED,0,0,0,0,1",O_CREATED,"O_CREATED,0,0,0,0,1",0.0,3328,26000.0
"O_CREATED,0,0,0,0,1",O_SENT,"O_SENT,0,0,1,0,1",0.0,3328,26000.0
"O_SENT,0,0,1,0,1",W_Call_after_offer,"W_Call_after_offer,1,0,1,0,1",-2.1,3328,26000.0
"W_Call_after_offer,1,0,1,0,1",O_SENT_BACK,"O_SENT_BACK,1,0,1,1,1",0.0,3328,26000.0
"O_SENT_BACK,1,0,1,1,1",W_Assess_application,"W_Assess_application,1,0,1,1,1",-0.13,3328,26000.0
"W_Assess_application,1,0,1,1,1",W_Call_missing_information,"W_Call_missing_information,1,1,1,1,1",-14.03,3328,26000.0
"W_Call_missing_information,1,1,1,1,1",O_ACCEPTED,"O_ACCEPTED,1,1,1,1,1",0.0,3328,26000.0
"O_ACCEPTED,1,1,1,1,1",A_APPROVED,"A_APPROVED,1,1,1,1,1",0.0,3328,26000.0
"A_APPROVED,1,1,1,1,1",A_REGISTERED,"A_REGISTERED,1,1,1,1,1",0.0,3328,26000.0
"A_REGISTERED,1,1,1,1,1",A_ACTIVATED,"A_ACTIVATED,1,1,1,1,1",0.0,3328,26000.0
"A_ACTIVATED,1,1,1,1,1",END,END,3900.0,3328,26000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,3329,28000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,3329,28000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",A_DECLINED,"A_DECLINED,0,0,0,0,0",0.0,3329,28000.0
"A_DECLINED,0,0,0,0,0",END,END,0.0,3329,28000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,333,13000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,333,13000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",A_CANCELLED,"A_CANCELLED,0,0,0,0,0",0.0,333,13000.0
"A_CANCELLED,0,0,0,0,0",END,END,0.0,333,13000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,3330,4000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,3330,4000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",A_DECLINED,"A_DECLINED,0,0,0,0,0",0.0,3330,4000.0
"A_DECLINED,0,0,0,0,0",END,END,0.0,3330,4000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,3331,32000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,3331,32000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,0",0.0,3331,32000.0
"A_PREACCEPTED,0,0,0,0,0",W_Complete_preaccepted_appl,"W_Complete_preaccepted_appl,0,0,0,0,0",-11.77,3331,32000.0
"W_Complete_preaccepted_appl,0,0,0,0,0",A_ACCEPTED,"A_ACCEPTED,0,0,0,0,0",0.0,3331,32000.0
"A_ACCEPTED,0,0,0,0,0",A_FINALIZED,"A_FINALIZED,0,0,0,0,0",0.0,3331,32000.0
"A_FINALIZED,0,0,0,0,0",O_SELECTED,"O_SELECTED,0,0,0,0,0",0.0,3331,32000.0
"O_SELECTED,0,0,0,0,0",O_CREATED,"O_CREATED,0,0,0,0,0",0.0,3331,32000.0
"O_CREATED,0,0,0,0,0",O_SENT,"O_SENT,0,0,1,0,0",0.0,3331,32000.0
"O_SENT,0,0,1,0,0",W_Call_after_offer,"W_Call_after_offer,1,0,1,0,0",-1.49,3331,32000.0
"W_Call_after_offer,1,0,1,0,0",O_SELECTED,"O_SELECTED,1,0,1,0,0",0.0,3331,32000.0
"O_SELECTED,1,0,1,0,0",O_CREATED,"O_CREATED,1,0,1,0,0",0.0,3331,32000.0
"O_CREATED,1,0,1,0,0",O_SENT,"O_SENT,1,0,2,0,0",0.0,3331,32000.0
"O_SENT,1,0,2,0,0",O_SELECTED,"O_SELECTED,1,0,2,0,0",0.0,3331,32000.0
"O_SELECTED,1,0,2,0,0",O_CREATED,"O_CREATED,1,0,2,0,0",0.0,3331,32000.0
"O_CREATED,1,0,2,0,0",O_SENT,"O_SENT,1,0,3,0,0",0.0,3331,32000.0
"O_SENT,1,0,3,0,0",W_Call_after_offer,"W_Call_after_offer,2,0,3,0,0",-10.32,3331,32000.0
"W_Call_after_offer,2,0,3,0,0",O_DECLINED,"O_DECLINED,2,0,3,0,0",0.0,3331,32000.0
"O_DECLINED,2,0,3,0,0",A_DECLINED,"A_DECLINED,2,0,3,0,0",0.0,3331,32000.0
"A_DECLINED,2,0,3,0,0",END,END,0.0,3331,32000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,3332,14000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,3332,14000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",A_CANCELLED,"A_CANCELLED,0,0,0,0,0",0.0,3332,14000.0
"A_CANCELLED,0,0,0,0,0",END,END,0.0,3332,14000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,3333,12000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,3333,12000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",A_CANCELLED,"A_CANCELLED,0,0,0,0,0",0.0,3333,12000.0
"A_CANCELLED,0,0,0,0,0",END,END,0.0,3333,12000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,3334,22000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,3334,22000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,0",0.0,3334,22000.0
"A_PREACCEPTED,0,0,0,0,0",W_Complete_preaccepted_appl,"W_Complete_preaccepted_appl,0,0,0,0,0",-7.13,3334,22000.0
"W_Complete_preaccepted_appl,0,0,0,0,0",O_DECLINED,"O_DECLINED,0,0,0,0,0",0.0,3334,22000.0
"O_DECLINED,0,0,0,0,0",A_DECLINED,"A_DECLINED,0,0,0,0,0",0.0,3334,22000.0
"A_DECLINED,0,0,0,0,0",END,END,0.0,3334,22000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,3335,10000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,3335,10000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",A_CANCELLED,"A_CANCELLED,0,0,0,0,0",0.0,3335,10000.0
"A_CANCELLED,0,0,0,0,0",END,END,0.0,3335,10000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,3336,32000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,3336,32000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,0",0.0,3336,32000.0
"A_PREACCEPTED,0,0,0,0,0",W_Complete_preaccepted_appl,"W_Complete_preaccepted_appl,0,0,0,0,0",-5.12,3336,32000.0
"W_Complete_preaccepted_appl,0,0,0,0,0",A_ACCEPTED,"A_ACCEPTED,0,0,0,0,0",0.0,3336,32000.0
"A_ACCEPTED,0,0,0,0,0",A_FINALIZED,"A_FINALIZED,0,0,0,0,0",0.0,3336,32000.0
"A_FINALIZED,0,0,0,0,0",O_SELECTED,"O_SELECTED,0,0,0,0,0",0.0,3336,32000.0
"O_SELECTED,0,0,0,0,0",O_CREATED,"O_CREATED,0,0,0,0,0",0.0,3336,32000.0
"O_CREATED,0,0,0,0,0",O_SENT,"O_SENT,0,0,1,0,0",0.0,3336,32000.0
"O_SENT,0,0,1,0,0",W_Call_after_offer,"W_Call_after_offer,1,0,1,0,0",-12.66,3336,32000.0
"W_Call_after_offer,1,0,1,0,0",O_SENT_BACK,"O_SENT_BACK,1,0,1,1,0",0.0,3336,32000.0
"O_SENT_BACK,1,0,1,1,0",W_Assess_application,"W_Assess_application,1,0,1,1,0",-26.05,3336,32000.0
"W_Assess_application,1,0,1,1,0",O_SELECTED,"O_SELECTED,1,0,1,1,0",0.0,3336,32000.0
"O_SELECTED,1,0,1,1,0",O_CREATED,"O_CREATED,1,0,1,1,0",0.0,3336,32000.0
"O_CREATED,1,0,1,1,0",O_SENT,"O_SENT,1,0,2,1,0",0.0,3336,32000.0
"O_SENT,1,0,2,1,0",W_Call_after_offer,"W_Call_after_offer,2,0,2,1,0",-12.6,3336,32000.0
"W_Call_after_offer,2,0,2,1,0",O_SENT_BACK,"O_SENT_BACK,2,0,2,2,0",0.0,3336,32000.0
"O_SENT_BACK,2,0,2,2,0",W_Assess_application,"W_Assess_application,2,0,2,2,0",-33.2,3336,32000.0
"W_Assess_application,2,0,2,2,0",W_Call_missing_information,"W_Call_missing_information,2,1,2,2,0",-21.27,3336,32000.0
"W_Call_missing_information,2,1,2,2,0",O_SELECTED,"O_SELECTED,2,1,2,2,0",0.0,3336,32000.0
"O_SELECTED,2,1,2,2,0",O_CREATED,"O_CREATED,2,1,2,2,0",0.0,3336,32000.0
"O_CREATED,2,1,2,2,0",O_SENT,"O_SENT,2,1,3,2,0",0.0,3336,32000.0
"O_SENT,2,1,3,2,0",W_Call_after_offer,"W_Call_after_offer,3,1,3,2,0",-18.02,3336,32000.0
"W_Call_after_offer,3,1,3,2,0",O_SELECTED,"O_SELECTED,3,1,3,2,0",0.0,3336,32000.0
"O_SELECTED,3,1,3,2,0",O_CREATED,"O_CREATED,3,1,3,2,0",0.0,3336,32000.0
"O_CREATED,3,1,3,2,0",O_SENT,"O_SENT,3,1,4,2,0",0.0,3336,32000.0
"O_SENT,3,1,4,2,0",W_Call_after_offer,"W_Call_after_offer,4,1,4,2,0",-0.1,3336,32000.0
"W_Call_after_offer,4,1,4,2,0",O_SELECTED,"O_SELECTED,4,1,4,2,0",0.0,3336,32000.0
"O_SELECTED,4,1,4,2,0",O_CREATED,"O_CREATED,4,1,4,2,0",0.0,3336,32000.0
"O_CREATED,4,1,4,2,0",O_SENT,"O_SENT,4,1,5,2,0",0.0,3336,32000.0
"O_SENT,4,1,5,2,0",W_Call_after_offer,"W_Call_after_offer,5,1,5,2,0",-0.89,3336,32000.0
"W_Call_after_offer,5,1,5,2,0",O_SELECTED,"O_SELECTED,5,1,5,2,0",0.0,3336,32000.0
"O_SELECTED,5,1,5,2,0",O_CREATED,"O_CREATED,5,1,5,2,0",0.0,3336,32000.0
"O_CREATED,5,1,5,2,0",O_SENT,"O_SENT,5,1,6,2,0",0.0,3336,32000.0
"O_SENT,5,1,6,2,0",W_Call_after_offer,"W_Call_after_offer,6,1,6,2,0",-4.58,3336,32000.0
"W_Call_after_offer,6,1,6,2,0",O_CANCELLED,"O_CANCELLED,6,1,6,2,0",0.0,3336,32000.0
"O_CANCELLED,6,1,6,2,0",O_ACCEPTED,"O_ACCEPTED,6,1,6,2,0",0.0,3336,32000.0
"O_ACCEPTED,6,1,6,2,0",A_APPROVED,"A_APPROVED,6,1,6,2,0",0.0,3336,32000.0
"A_APPROVED,6,1,6,2,0",A_REGISTERED,"A_REGISTERED,6,1,6,2,0",0.0,3336,32000.0
"A_REGISTERED,6,1,6,2,0",A_ACTIVATED,"A_ACTIVATED,6,1,6,2,0",0.0,3336,32000.0
"A_ACTIVATED,6,1,6,2,0",END,END,4800.0,3336,32000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,3337,9000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,3337,9000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",A_DECLINED,"A_DECLINED,0,0,0,0,0",0.0,3337,9000.0
"A_DECLINED,0,0,0,0,0",END,END,0.0,3337,9000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,3338,16000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,3338,16000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",A_CANCELLED,"A_CANCELLED,0,0,0,0,0",0.0,3338,16000.0
"A_CANCELLED,0,0,0,0,0",END,END,0.0,3338,16000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,3339,7000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,3339,7000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",A_CANCELLED,"A_CANCELLED,0,0,0,0,0",0.0,3339,7000.0
"A_CANCELLED,0,0,0,0,0",END,END,0.0,3339,7000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,334,13000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,334,13000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",W_Fix_incomplete_submission,"W_Fix_incomplete_submission,0,0,0,0,1",-9.94,334,13000.0
"W_Fix_incomplete_submission,0,0,0,0,1",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,1",0.0,334,13000.0
"A_PREACCEPTED,0,0,0,0,1",W_Complete_preaccepted_appl,"W_Complete_preaccepted_appl,0,0,0,0,1",-21.69,334,13000.0
"W_Complete_preaccepted_appl,0,0,0,0,1",A_ACCEPTED,"A_ACCEPTED,0,0,0,0,1",0.0,334,13000.0
"A_ACCEPTED,0,0,0,0,1",A_FINALIZED,"A_FINALIZED,0,0,0,0,1",0.0,334,13000.0
"A_FINALIZED,0,0,0,0,1",O_SELECTED,"O_SELECTED,0,0,0,0,1",0.0,334,13000.0
"O_SELECTED,0,0,0,0,1",O_CREATED,"O_CREATED,0,0,0,0,1",0.0,334,13000.0
"O_CREATED,0,0,0,0,1",O_SENT,"O_SENT,0,0,1,0,1",0.0,334,13000.0
"O_SENT,0,0,1,0,1",W_Call_after_offer,"W_Call_after_offer,1,0,1,0,1",-1.69,334,13000.0
"W_Call_after_offer,1,0,1,0,1",O_DECLINED,"O_DECLINED,1,0,1,0,1",0.0,334,13000.0
"O_DECLINED,1,0,1,0,1",A_DECLINED,"A_DECLINED,1,0,1,0,1",0.0,334,13000.0
"A_DECLINED,1,0,1,0,1",END,END,0.0,334,13000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,3340,7000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,3340,7000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",W_Assess_fraud,"W_Assess_fraud,0,0,0,0,0",-4.46,3340,7000.0
"W_Assess_fraud,0,0,0,0,0",A_DECLINED,"A_DECLINED,0,0,0,0,0",0.0,3340,7000.0
"A_DECLINED,0,0,0,0,0",END,END,0.0,3340,7000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,3341,37000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,3341,37000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,0",0.0,3341,37000.0
"A_PREACCEPTED,0,0,0,0,0",W_Complete_preaccepted_appl,"W_Complete_preaccepted_appl,0,0,0,0,0",-9.17,3341,37000.0
"W_Complete_preaccepted_appl,0,0,0,0,0",A_ACCEPTED,"A_ACCEPTED,0,0,0,0,0",0.0,3341,37000.0
"A_ACCEPTED,0,0,0,0,0",A_FINALIZED,"A_FINALIZED,0,0,0,0,0",0.0,3341,37000.0
"A_FINALIZED,0,0,0,0,0",O_SELECTED,"O_SELECTED,0,0,0,0,0",0.0,3341,37000.0
"O_SELECTED,0,0,0,0,0",O_CREATED,"O_CREATED,0,0,0,0,0",0.0,3341,37000.0
"O_CREATED,0,0,0,0,0",O_SENT,"O_SENT,0,0,1,0,0",0.0,3341,37000.0
"O_SENT,0,0,1,0,0",W_Call_after_offer,"W_Call_after_offer,1,0,1,0,0",-9.89,3341,37000.0
"W_Call_after_offer,1,0,1,0,0",O_SENT_BACK,"O_SENT_BACK,1,0,1,1,0",0.0,3341,37000.0
"O_SENT_BACK,1,0,1,1,0",W_Assess_application,"W_Assess_application,1,0,1,1,0",-0.51,3341,37000.0
"W_Assess_application,1,0,1,1,0",O_SELECTED,"O_SELECTED,1,0,1,1,0",0.0,3341,37000.0
"O_SELECTED,1,0,1,1,0",O_CREATED,"O_CREATED,1,0,1,1,0",0.0,3341,37000.0
"O_CREATED,1,0,1,1,0",O_SENT,"O_SENT,1,0,2,1,0",0.0,3341,37000.0
"O_SENT,1,0,2,1,0",W_Call_after_offer,"W_Call_after_offer,2,0,2,1,0",-11.98,3341,37000.0
"W_Call_after_offer,2,0,2,1,0",O_SELECTED,"O_SELECTED,2,0,2,1,0",0.0,3341,37000.0
"O_SELECTED,2,0,2,1,0",O_CREATED,"O_CREATED,2,0,2,1,0",0.0,3341,37000.0
"O_CREATED,2,0,2,1,0",O_SENT,"O_SENT,2,0,3,1,0",0.0,3341,37000.0
